Trial_ID,ROS_Time_sec,Replanning_Latency_sec,Path_Length_m,Path_Found_Bool,Outcome
1,24.059,149.838131,12.2363,1,0
1,24.059,9.422145,12.2363,1,0
1,24.261,1.404452,12.2341,1,0
1,24.46,1.242212,12.2398,1,0
1,24.66,1.065556,12.259,1,0
1,24.86,1.032225,12.2893,1,0
1,25.06,1.358163,12.3086,1,0
1,25.26,0.685081,12.3009,1,0
1,25.46,0.498426,12.1639,1,0
1,25.66,0.541965,11.9973,1,0
1,25.86,0.773617,11.9007,1,0
1,26.06,3.94483,11.7624,1,0
1,26.26,2.381639,11.6633,1,0
1,26.46,1.26621,11.5667,1,0
1,26.66,2.271271,11.4635,1,0
1,26.86,1.75922,11.3674,1,0
1,27.11,2.853234,11.2555,1,0
1,27.311,1.427826,11.1538,1,0
1,27.51,1.728015,11.0256,1,0
1,27.709,2.251315,10.9268,1,0
1,27.909,8.106774,10.8336,1,0
1,28.11,3.117468,10.7284,1,0
1,28.31,2.438678,10.6448,1,0
1,28.51,2.960603,10.5245,1,0
1,28.71,2.617958,10.4219,1,0
1,28.91,7.020802,10.322,1,0
1,29.11,9.120794,10.2233,1,0
1,29.31,3.49211,10.1386,1,0
1,29.511,4.852024,10.004,1,0
1,29.71,8.537914,9.9589,1,0
1,29.91,4.205149,9.893,1,0
1,30.11,3.71243,9.7318,1,0
1,30.31,3.164173,9.5761,1,0
1,30.51,3.781676,9.4771,1,0
1,30.71,4.472173,9.5664,1,0
1,30.91,41.087342,9.2754,1,0
1,31.11,18.68352,9.3998,1,0
1,31.31,6.497253,9.284,1,0
1,31.51,6.769402,9.1271,1,0
1,31.71,4.793529,9.0249,1,0
1,31.91,5.348534,8.9351,1,0
1,32.11,3.521985,8.827,1,0
1,32.31,9.181417,8.8126,1,0
1,32.51,7.865167,9.0183,1,0
1,32.71,5.120091,8.9889,1,0
1,32.91,3.306332,8.8355,1,0
1,33.11,3.246544,8.7202,1,0
1,33.31,2.364559,8.613,1,0
1,33.51,3.619479,8.5288,1,0
1,33.71,1.81951,8.506,1,0
1,33.91,5.905041,8.5235,1,0
1,34.108,6.957725,8.2401,1,0
1,34.31,4.541295,8.3374,1,0
1,34.511,3.687558,8.2785,1,0
1,34.71,4.026287,8.4317,1,0
1,34.91,3.452656,8.4808,1,0
1,35.11,7.118758,8.4483,1,0
1,35.31,11.142753,9.106,1,0
1,35.51,9.297161,10.3374,1,0
1,35.711,4.354849,10.3329,1,0
1,35.911,4.976394,10.3132,1,0
1,36.11,5.359203,10.2811,1,0
1,36.31,4.648373,10.2688,1,0
1,36.51,5.494445,10.2677,1,0
1,36.71,7.424697,7.8092,1,0
1,36.91,5.060805,7.8426,1,0
1,37.11,4.992435,7.863,1,0
1,37.31,5.258793,7.882,1,0
1,37.51,4.363016,7.879,1,0
1,37.711,4.153863,7.875,1,0
1,37.91,11.984702,7.8688,1,0
1,38.11,13.262746,7.8345,1,0
1,38.31,8.8444,7.7969,1,0
1,38.51,4.423304,7.7607,1,0
1,38.71,12.811525,7.7341,1,0
1,38.911,5.961708,7.7401,1,0
1,39.11,5.707516,7.7372,1,0
1,39.31,5.988039,7.7246,1,0
1,39.51,21.909703,7.6472,1,0
1,39.71,41.246067,7.5631,1,0
1,39.91,6.19636,7.5224,1,0
1,40.11,7.692224,7.3887,1,0
1,40.31,3.806886,7.312,1,0
1,40.51,10.033034,7.2068,1,0
1,40.711,4.951063,7.1147,1,0
1,40.91,5.846841,6.9918,1,0
1,41.111,9.983705,6.8947,1,0
1,41.31,5.006893,6.8066,1,0
1,41.51,5.000519,6.7362,1,0
1,41.71,4.484593,6.5805,1,0
1,41.91,4.738828,6.493,1,0
1,42.11,28.810565,6.3131,1,0
1,42.311,18.194107,6.2168,1,0
1,42.51,4.688788,6.09,1,0
1,42.71,14.114321,6.1655,1,0
1,42.91,7.027351,6.0674,1,0
1,43.111,7.557401,5.9781,1,0
1,43.31,6.574504,6.1643,1,0
1,43.511,11.289583,6.0407,1,0
1,43.71,4.821989,5.9615,1,0
1,43.91,4.672458,5.8385,1,0
1,44.11,4.320854,5.4809,1,0
1,44.31,14.560296,5.3854,1,0
1,44.51,17.458906,5.2673,1,0
1,44.71,6.38985,5.1557,1,0
1,44.91,7.171218,5.0577,1,0
1,45.11,8.445305,4.9641,1,0
1,45.31,6.196904,4.8529,1,0
1,45.51,7.624564,4.767,1,0
1,45.71,5.079182,4.6651,1,0
1,45.911,8.212111,4.5648,1,0
1,46.11,6.121201,4.4664,1,0
1,46.308,5.964335,4.3112,1,0
1,46.51,7.37708,4.2602,1,0
1,46.71,4.764994,4.1748,1,0
1,46.91,7.268463,3.8802,1,0
1,47.11,24.458847,3.8444,1,0
1,47.31,30.172449,3.7465,1,0
1,47.51,6.479845,3.7091,1,0
1,47.71,4.695957,3.6954,1,0
1,47.91,4.891987,3.2551,1,0
1,48.11,5.75639,3.1776,1,0
1,48.31,5.896007,3.0379,1,0
1,48.51,7.462785,2.9451,1,0
1,48.71,3.097557,2.8489,1,0
1,48.911,2.889362,2.7429,1,0
1,49.11,2.775952,2.6349,1,0
1,49.31,3.202133,2.5555,1,0
1,49.56,5.412579,2.4132,1,0
1,49.76,4.478513,2.3021,1,0
1,49.958,3.815263,2.2291,1,0
1,50.16,2.180364,2.1169,1,0
1,50.36,2.467013,1.9922,1,0
1,50.56,2.682833,1.9033,1,0
1,50.76,2.38756,1.7945,1,0
1,50.96,1.900132,1.6855,1,0
1,51.16,1.648189,1.5879,1,0
1,51.36,1.52303,1.4949,1,0
1,51.56,1.453868,1.4006,1,0
1,51.76,2.816408,1.2979,1,0
1,51.96,2.484887,1.164,1,0
1,52.16,0.541675,1.0351,1,0
1,52.36,0.553132,0.937,1,0
1,52.56,0.629419,0.8245,1,0
1,52.76,0.875487,0.7297,1,0
1,52.96,0.70254,0.6382,1,0
1,53.16,0.632461,0.5559,1,0
1,53.36,0.54605,0.4772,1,0
1,53.56,0.714372,0.375,1,0
1,53.76,0.631377,0.258,1,0
1,53.96,1.010812,0.2004,1,0
1,54.161,0.578089,0.1822,1,0
1,54.36,3.014605,0.233,1,0
1,54.56,1.088224,0.3343,1,0
1,54.76,0.798076,0.3315,1,0
1,54.96,0.609462,0.2536,1,0
1,55.16,0.606254,0.2268,1,0
1,55.361,0.596005,0.2005,1,0
1,55.56,0.772994,0.1656,1,0
1,55.761,0.722414,0.1319,1,0
1,55.961,0.52401,0.0951,1,0
1,56.16,0.530509,0.056,1,0
1,56.36,0.809033,0.0206,1,1
2,89.561,24.517165,12.7753,1,0
2,89.561,101.700027,12.7753,1,0
2,89.76,0.604547,12.7755,1,0
2,89.96,0.656419,12.7737,1,0
2,90.16,0.901905,12.7649,1,0
2,90.36,0.777371,12.6913,1,0
2,90.56,0.762413,12.6363,1,0
2,90.761,0.571424,12.3249,1,0
2,90.96,0.618172,12.2506,1,0
2,91.16,1.678609,12.1665,1,0
2,91.36,1.826517,12.0244,1,0
2,91.56,0.926195,11.9178,1,0
2,91.76,0.652753,11.8244,1,0
2,91.961,0.606881,11.7003,1,0
2,92.16,0.608048,11.597,1,0
2,92.36,0.684168,11.4974,1,0
2,92.56,0.758705,11.3983,1,0
2,92.76,0.675627,11.303,1,0
2,92.96,8.264677,11.201,1,0
2,93.16,2.41844,11.1,1,0
2,93.36,1.493495,10.9972,1,0
2,93.56,1.380043,10.9036,1,0
2,94.361,4.100216,10.476,1,0
2,94.561,3.115149,10.3753,1,0
2,94.76,1.92147,10.2769,1,0
2,94.96,2.322821,10.18,1,0
2,95.16,3.165271,10.0868,1,0
2,95.36,2.55489,10.0234,1,0
2,95.56,2.832624,9.8434,1,0
2,95.76,1.507369,9.7485,1,0
2,95.96,1.670859,9.6695,1,0
2,96.16,1.460163,9.5303,1,0
2,96.36,1.497661,9.4154,1,0
2,96.56,1.463246,9.3067,1,0
2,96.76,0.98815,9.2408,1,0
2,96.957,4.020471,9.0751,1,0
2,97.16,7.93249,8.9884,1,0
2,97.36,6.656149,8.8681,1,0
2,97.56,4.404824,8.8643,1,0
2,99.96,14.102712,7.767,1,0
2,100.157,5.616253,7.667,1,0
2,100.56,31.812169,7.4943,1,0
2,100.761,15.926188,7.389,1,0
2,100.961,7.277739,7.3297,1,0
2,101.161,17.226946,7.3625,1,0
2,101.36,4.894337,7.3141,1,0
2,102.76,5.380767,6.628,1,0
2,102.959,7.006922,6.509,1,0
2,103.16,23.830644,6.4053,1,0
2,103.36,9.993039,6.3086,1,0
2,103.561,8.711156,6.2127,1,0
2,103.808,7.920994,6.0678,1,0
2,104.01,70.254134,5.9675,1,0
2,104.21,25.262479,5.8548,1,0
2,104.41,5.807785,5.7609,1,0
2,104.61,5.404142,5.6676,1,0
2,104.81,3.782487,5.5797,1,0
2,105.01,36.902756,5.4824,1,0
2,105.209,28.151852,5.3822,1,0
2,105.41,5.190529,5.2621,1,0
2,105.611,4.304415,5.2222,1,0
2,105.81,13.071611,5.1113,1,0
2,106.01,6.208303,4.9758,1,0
2,106.211,8.507753,4.911,1,0
2,106.41,5.738206,4.7525,1,0
2,106.61,6.992467,4.7231,1,0
2,106.811,4.39291,4.5072,1,0
2,107.01,3.258976,4.4194,1,0
2,107.21,10.373227,4.3104,1,0
2,107.411,3.98885,4.221,1,0
2,107.61,5.075203,4.1578,1,0
2,107.811,5.180781,4.175,1,0
2,108.01,4.91813,3.9449,1,0
2,108.21,5.496429,3.8541,1,0
2,108.411,6.139225,3.8729,1,0
2,108.81,7.490189,3.4686,1,0
2,109.01,2.796004,3.3707,1,0
2,109.21,4.742765,3.3044,1,0
2,109.41,4.473656,3.3268,1,0
2,109.61,4.858508,3.0415,1,0
2,109.81,4.594608,2.9039,1,0
2,110.01,3.26281,2.7947,1,0
2,110.21,3.706493,2.6804,1,0
2,110.41,4.510446,2.6259,1,0
2,110.61,12.129753,2.5145,1,0
2,110.81,5.949779,2.3864,1,0
2,111.01,4.1693,2.2205,1,0
2,111.209,3.292225,2.1405,1,0
2,111.41,1.890349,2.0296,1,0
2,111.607,2.861876,1.9283,1,0
2,111.81,5.863409,1.8175,1,0
2,112.01,1.848309,1.7181,1,0
2,112.21,2.387861,1.6229,1,0
2,112.41,4.015809,1.5192,1,0
2,112.61,3.690411,1.4215,1,0
2,112.811,5.430518,1.3292,1,0
2,113.01,3.960687,1.2886,1,0
2,113.21,2.997951,1.0354,1,0
2,113.41,2.560519,0.9364,1,0
2,113.61,3.243062,0.822,1,0
2,113.81,1.598491,0.7538,1,0
2,114.01,2.011425,0.6546,1,0
2,114.211,2.757298,0.6146,1,0
2,114.41,1.220513,0.4509,1,0
2,114.61,1.805562,0.3354,1,0
2,114.81,1.865267,0.2312,1,0
2,115.009,1.522579,0.1654,1,0
2,115.21,6.828647,0.2296,1,0
2,115.411,1.368629,0.2434,1,0
2,115.611,1.660904,0.2643,1,0
2,115.811,2.514063,0.2675,1,0
2,116.01,1.695319,0.2523,1,0
2,116.21,1.203764,0.2404,1,0
2,116.41,1.392586,0.1283,1,0
2,116.611,1.40946,0.0928,1,0
2,116.809,1.614073,0.0615,1,1
3,146.461,149.883566,12.0032,1,0
3,146.461,10.365545,12.0032,1,0
3,146.661,1.143686,11.9942,1,0
3,146.86,5.416322,11.9472,1,0
3,147.06,3.122409,11.8613,1,0
3,147.26,6.707375,11.772,1,0
3,147.46,1.662074,11.6809,1,0
3,147.66,1.685323,11.5964,1,0
3,147.861,1.336092,11.4672,1,0
3,148.061,1.938558,11.3634,1,0
3,148.261,2.013388,11.2778,1,0
3,148.46,1.664657,11.1816,1,0
3,148.66,1.311927,11.1343,1,0
3,148.861,1.868771,10.9775,1,0
3,149.06,1.539164,10.8849,1,0
3,149.26,2.618396,10.7891,1,0
3,149.46,1.807607,10.7012,1,0
3,149.66,2.308246,10.618,1,0
3,149.861,1.75386,10.4057,1,0
3,150.06,2.004347,10.3053,1,0
3,150.261,1.880021,10.185,1,0
3,150.46,1.465877,10.0871,1,0
3,150.66,1.519874,9.987,1,0
3,150.861,1.393964,9.8962,1,0
3,151.06,2.129964,9.7892,1,0
3,151.26,12.504679,9.7206,1,0
3,151.46,9.688794,9.6501,1,0
3,151.661,7.538289,9.6417,1,0
3,151.86,5.197711,9.4806,1,0
3,152.061,19.383838,9.6233,1,0
3,152.26,5.162255,9.586,1,0
3,152.46,9.792998,9.7487,1,0
3,152.66,4.465335,9.3671,1,0
3,152.86,13.434045,9.566,1,0
3,153.06,7.766985,10.5732,1,0
3,153.26,5.483404,10.5282,1,0
3,153.46,5.869757,10.4642,1,0
3,153.71,3.623341,10.3363,1,0
3,153.91,6.221613,10.1936,1,0
3,154.11,12.898951,9.7689,1,0
3,154.31,52.843318,9.8158,1,0
3,154.51,12.072372,9.4148,1,0
3,154.711,7.961433,9.3731,1,0
3,154.91,9.872077,9.4202,1,0
3,155.11,8.118633,9.533,1,0
3,155.31,9.046498,10.4129,1,0
3,155.511,6.215072,10.4809,1,0
3,155.71,8.027846,10.4152,1,0
3,155.91,4.901312,10.3955,1,0
3,156.11,4.011487,10.315,1,0
3,156.31,7.656034,9.9686,1,0
3,156.51,5.407826,9.9263,1,0
3,156.71,8.878467,9.6666,1,0
3,156.91,7.390216,9.6514,1,0
3,157.11,50.071981,10.2265,1,0
3,157.31,12.071791,9.2809,1,0
3,157.509,9.300652,9.241,1,0
3,157.711,18.891497,9.1319,1,0
3,157.911,9.966032,9.6789,1,0
3,158.11,8.660688,9.6592,1,0
3,158.31,6.250196,9.6259,1,0
3,158.51,8.447491,9.5999,1,0
3,158.71,7.346011,9.5883,1,0
3,159.111,8.907716,9.4078,1,0
3,159.111,84.405549,9.4078,1,0
3,159.31,5.674687,9.3139,1,-2
4,15.065,16.848688,12.0122,1,0
4,15.065,114.963577,12.0122,1,0
4,15.264,1.190296,12.0056,1,0
4,15.465,1.862609,11.9914,1,0
4,15.664,1.116757,11.9842,1,0
4,15.865,0.957262,11.9008,1,0
4,16.064,0.952221,11.8854,1,0
4,16.264,1.113007,11.8785,1,0
4,16.464,1.003469,11.8578,1,0
4,16.664,1.014136,11.8235,1,0
4,16.864,1.679073,11.7666,1,0
4,17.064,1.825485,11.7276,1,0
4,17.264,3.055239,11.6934,1,0
4,17.464,2.502464,11.6711,1,0
4,17.664,2.085394,11.7023,1,0
4,17.864,2.18939,11.2244,1,0
4,18.062,2.032896,11.1183,1,0
4,18.264,1.990063,11.0428,1,0
4,18.464,6.812207,10.9128,1,0
4,18.664,3.519892,10.811,1,0
4,18.864,2.854454,10.747,1,0
4,19.064,4.753812,10.6094,1,0
4,19.264,3.942129,10.5215,1,0
4,19.514,8.00367,10.381,1,0
4,19.714,6.034105,10.296,1,0
4,19.914,4.589609,10.1835,1,0
4,20.114,3.512767,10.1084,1,0
4,20.314,3.614555,9.9714,1,0
4,20.514,3.905421,9.8725,1,0
4,20.714,3.242359,9.7747,1,0
4,20.914,2.675126,9.6758,1,0
4,21.114,3.552724,9.5752,1,0
4,21.314,3.198944,9.4773,1,0
4,21.514,2.930452,9.3775,1,0
4,21.714,5.367335,9.2844,1,0
4,21.911,3.774342,9.1765,1,0
4,22.115,4.168913,9.1189,1,0
4,22.314,3.780217,9.0011,1,0
4,22.514,4.437863,8.8736,1,0
4,22.715,5.347461,8.7485,1,0
4,22.914,3.031657,8.6545,1,0
4,23.114,5.10901,8.4993,1,0
4,23.312,16.401578,8.6282,1,0
4,23.514,5.476706,8.4822,1,0
4,23.714,3.469143,8.3874,1,0
4,23.914,3.949711,8.3385,1,0
4,24.114,6.459302,8.195,1,0
4,24.314,5.058969,8.123,1,0
4,24.514,3.524433,7.9133,1,0
4,24.714,9.673702,8.2573,1,0
4,24.914,5.443374,7.6836,1,0
4,25.115,7.050867,8.3347,1,0
4,25.314,4.802227,8.2356,1,0
4,25.514,7.90884,7.4346,1,0
4,25.714,4.799436,7.5697,1,0
4,25.914,5.094552,7.916,1,0
4,26.114,7.294734,7.3709,1,0
4,26.312,7.956297,7.3053,1,0
4,26.514,8.644109,7.2171,1,0
4,26.714,8.632984,7.6179,1,0
4,26.914,16.69357,7.6061,1,0
4,27.111,9.176218,7.3175,1,0
4,27.314,9.883446,6.9912,1,0
4,27.514,9.377379,7.2207,1,0
4,27.714,5.302795,7.0209,1,0
4,27.914,14.002611,6.9226,1,0
4,28.114,9.135802,6.8585,1,0
4,28.314,12.153002,6.7593,1,0
4,28.512,8.248622,6.7577,1,0
4,28.714,9.196176,6.8502,1,0
4,28.915,15.265989,7.0285,1,0
4,29.114,8.833479,6.924,1,0
4,29.314,33.706547,6.2302,1,0
4,29.514,31.564238,6.9869,1,0
4,30.114,4.423364,5.5459,1,0
4,30.314,9.191426,5.434,1,0
4,30.514,5.93436,5.3271,1,0
4,30.715,3.415854,5.2859,1,0
4,30.914,6.565007,5.223,1,0
4,31.114,4.923807,5.2413,1,0
4,32.514,6.309598,5.1677,1,0
4,32.714,7.464979,5.0867,1,0
4,32.914,5.706617,4.8379,1,0
4,33.114,4.887267,4.7242,1,0
4,33.314,6.431845,4.6389,1,0
4,33.514,7.915382,4.5662,1,0
4,33.714,5.78228,4.4869,1,0
4,33.914,9.759951,4.3894,1,0
4,34.114,7.126948,4.2892,1,0
4,34.314,6.137645,4.1918,1,0
4,34.514,5.587204,4.1078,1,0
4,34.714,5.060053,4.3187,1,0
4,35.114,17.372925,3.7288,1,0
4,35.314,4.78852,4.1356,1,0
4,35.514,4.272285,3.5371,1,0
4,35.714,8.87931,3.4293,1,0
4,35.914,4.619942,3.3579,1,0
4,36.114,5.331544,3.2612,1,0
4,36.314,4.211079,3.1193,1,0
4,36.514,2.655544,3.0568,1,0
4,36.714,2.703876,3.0518,1,0
4,36.915,3.252942,3.0263,1,0
4,37.114,2.137602,3.1513,1,0
4,37.314,3.536058,3.3944,1,0
4,37.514,1.769821,3.3563,1,0
4,37.714,2.151517,2.7076,1,0
4,38.314,2.247098,2.1382,1,0
4,38.514,2.105477,2.0682,1,0
4,38.715,2.672127,1.8924,1,0
4,38.914,24.200008,1.7942,1,0
4,39.114,22.277734,1.6988,1,0
4,39.314,2.625086,1.6613,1,0
4,39.515,2.188891,1.6091,1,0
4,39.714,3.233484,1.6748,1,0
4,39.914,3.205943,1.3139,1,0
4,40.114,2.777373,1.2094,1,0
4,40.314,1.910316,1.1243,1,0
4,40.514,2.397135,1.0723,1,0
4,40.714,2.213807,0.8753,1,0
