Trial_ID,ROS_Time_sec,Replanning_Latency_sec,Path_Length_m,Path_Found_Bool,Outcome
1,46.966,9.642658,12.2695,1,0
1,46.966,122.648514,12.2695,1,0
1,47.165,1.089644,12.2632,1,0
1,47.365,0.532904,12.2482,1,0
1,47.565,0.971504,12.2316,1,0
1,47.765,1.629924,12.2308,1,0
1,47.965,0.452435,12.2262,1,0
1,48.165,0.496189,12.1936,1,0
1,48.365,0.498063,12.1625,1,0
1,48.565,0.814979,12.0615,1,0
1,48.765,0.781683,11.99,1,0
1,48.965,0.529609,11.9538,1,0
1,49.165,0.618743,11.8586,1,0
1,49.365,0.831727,11.7433,1,0
1,49.566,0.729631,11.6511,1,0
1,49.765,0.659748,11.5953,1,0
1,49.965,0.575404,11.4599,1,0
1,50.165,0.724878,11.3496,1,0
1,50.365,7.123548,11.219,1,0
1,50.565,1.666822,11.1159,1,0
1,50.765,1.810589,11.0147,1,0
1,50.965,1.249606,10.9054,1,0
1,51.165,1.621475,10.8061,1,0
1,51.365,1.586597,10.7049,1,0
1,51.565,0.942524,10.6033,1,0
1,51.765,1.710694,10.5014,1,0
1,51.965,1.200595,10.4053,1,0
1,52.165,6.818536,10.3374,1,0
1,52.365,2.251495,10.2407,1,0
1,52.565,1.925294,10.1463,1,0
1,52.765,1.607967,10.0668,1,0
1,52.965,1.978341,9.9981,1,0
1,53.165,1.990084,9.8491,1,0
1,53.365,2.721035,9.7211,1,0
1,53.564,1.88153,9.6244,1,0
1,53.765,2.04038,9.5251,1,0
1,53.965,2.050007,9.407,1,0
1,54.165,2.0585,9.3175,1,0
1,54.365,1.833393,9.2635,1,0
1,54.566,2.081627,9.0848,1,0
1,54.765,2.468082,8.9903,1,0
1,54.965,2.672019,8.9085,1,0
1,55.165,3.002582,8.8979,1,0
1,55.365,2.122248,8.6344,1,0
1,55.565,14.000565,8.6625,1,0
1,55.765,3.095009,8.5956,1,0
1,55.965,10.588442,8.6385,1,0
1,56.165,2.814929,8.3386,1,0
1,56.365,2.196038,8.2523,1,0
1,56.565,2.053691,8.1303,1,0
1,56.766,2.175577,8.0304,1,0
1,56.965,2.299331,7.9293,1,0
1,57.165,2.640403,7.8344,1,0
1,57.365,1.967634,7.7445,1,0
1,57.565,2.034057,7.6317,1,0
1,57.765,1.438004,7.5257,1,0
1,57.965,2.205939,7.4288,1,0
1,58.165,3.241987,7.3418,1,0
1,58.365,3.089182,7.9526,1,0
1,58.565,2.156935,7.7341,1,0
1,58.765,1.873869,7.6437,1,0
1,58.965,2.349151,7.574,1,0
1,59.165,1.92145,7.5493,1,0
1,59.415,2.574795,7.5097,1,0
1,60.615,2.07108,6.5305,1,0
1,60.815,2.300431,6.4634,1,0
1,61.015,2.32951,6.4167,1,0
1,61.215,1.457111,6.2111,1,0
1,61.415,1.533282,6.1226,1,0
1,61.615,1.33856,6.0325,1,0
1,61.815,1.84889,5.9098,1,0
1,62.015,1.68783,5.8314,1,0
1,62.215,1.74121,5.7115,1,0
1,62.415,2.053149,5.6108,1,0
1,62.615,1.820423,5.5183,1,0
1,62.815,2.067192,5.4187,1,0
1,63.015,1.930801,5.3279,1,0
1,63.215,1.623696,5.2533,1,0
1,63.415,1.757081,5.148,1,0
1,63.615,1.899174,5.0501,1,0
1,63.815,2.044434,4.8942,1,0
1,64.015,2.482665,4.7955,1,0
1,64.215,8.31872,4.7004,1,0
1,64.415,16.071902,5.621,1,0
1,64.615,3.147084,5.5251,1,0
1,64.815,4.393334,5.4383,1,0
1,65.015,2.552829,5.4167,1,0
1,65.215,3.603271,5.2775,1,0
1,65.415,3.143991,5.1695,1,0
1,65.615,2.671962,5.0584,1,0
1,65.815,2.402444,4.9869,1,0
1,66.014,2.931178,4.8139,1,0
